1,1,29.0,875.0
2,1,27.0,794.0
3,0,35.0,793.0
4,1,28.0,805.0
5,1,38.0,803.0
6,0,22.0,798.0
7,1,24.0,748.0
8,0,29.0,850.0
9,0,35.0,886.0
10,0,25.0,793.0
11,1,39.0,884.0
12,0,48.0,827.0
13,0,41.0,832.0
14,0,26.0,863.0
15,0,23.0,848.0
16,0,27.0,859.0
17,0,18.0,878.0
18,0,31.0,905.0
19,0,34.0,780.0
20,1,34.0,786.0
21,1,24.0,868.0
22,0,25.0,902.0
23,1,23.0,899.0
24,0,25.0,880.0
25,0,37.0,814.0
26,0,27.0,841.0
27,0,24.0,833.0
28,0,31.0,884.0
29,0,26.0,792.0
30,0,28.0,884.0
31,0,28.0,824.0
32,1,35.0,885.0
33,1,24.0,793.0
34,0,29.0,826.0
35,0,30.0,733.0
36,0,27.0,839.0
37,1,28.0,910.0
38,0,25.0,871.0
39,0,35.0,809.0
40,0,45.0,814.0
41,1,27.0,862.0
42,0,44.0,855.0
43,1,24.0,813.0
44,1,26.0,850.0
45,0,25.0,805.0
46,0,28.0,896.0
47,0,34.0,858.0
48,0,30.0,819.0
49,1,18,0
50,1,24.0,821.0
51,1,18,0
52,0,41.0,768.0
53,0,24.0,742.0
54,1,30.0,728.0
55,0,34.0,816.0
56,0,34.0,792.0
57,1,43.0,800.0
58,0,27.0,823.0
59,0,29.0,828.0
60,0,32.0,784.0
61,0,35.0,787.0
62,0,32.0,788.0
63,0,23.0,900.0
64,0,49.0,785.0
65,0,22.0,805.0
66,0,23.0,895.0
67,1,31.0,731.0
68,0,25.0,838.0
69,0,29.0,829.0
70,0,44.0,825.0
71,0,24.0,825.0
72,1,29.0,810.0
73,0,32.0,866.0
74,0,33.0,857.0
75,0,32.0,824.0
76,0,27.0,649.0
77,0,28.0,811.0
78,0,21.0,826.0
79,0,34.0,720.0
80,0,25.0,879.0
81,0,39.0,858.0
82,0,31.0,819.0
83,1,18,0
84,0,22.0,845.0
85,0,30.0,815.0
86,0,49.0,816.0
87,0,28.0,845.0
88,0,24.0,851.0
89,0,18.0,788.0
90,1,28.0,723.0
91,0,25.0,816.0
92,1,31.0,793.0
93,0,29.0,879.0
94,0,44.0,827.0
95,0,26.0,760.0
96,0,34.0,878.0
97,0,32.0,819.0
98,1,46.0,773.0
99,0,24.0,816.0
100,1,24.0,822.0
101,0,32.0,760.0
102,1,33.0,807.0
103,0,18.0,757.0
104,0,43.0,876.0
105,1,24.0,784.0
106,0,25.0,845.0
107,0,44.0,852.0
108,0,28.0,808.0
109,1,24.0,877.0
110,0,30.0,861.0
